class,word,coeffcimin,coeffcimean,coeffcimax,documentfrequency
1,complements,-3.32,-2.85,-2.38,556
1,brings,-3.341,-2.82,-2.299,547
1,unhappy,2.071,2.251,2.431,256
1,excelente,-2.337,-2.185,-2.033,396
1,garbage,1.99,2.165,2.34,371
2,memory,-2.93,-2.707,-2.485,602
2,steal,-2.62,-2.394,-2.169,181
2,charming,-2.689,-2.379,-2.068,360
2,affordable,-2.641,-2.23,-1.819,1037
2,joy,-2.752,-2.224,-1.696,480
3,whiskey,-2.756,-2.482,-2.208,305
3,disappoint,-2.501,-2.052,-1.603,606
3,turkey,-2.504,-2.048,-1.593,206
3,church,-2.295,-1.984,-1.673,187
3,hilarious,-2.428,-1.906,-1.383,266
4,appreciation,-2.975,-2.306,-1.638,219
4,unhappy,-2.377,-2.066,-1.754,256
4,downside,1.762,1.924,2.087,344
4,neighbors,1.464,1.646,1.828,350
4,seriously,-1.774,-1.619,-1.465,704
5,disappointing,-3.126,-2.994,-2.863,1490
5,happier,2.705,2.879,3.052,2242
5,excelente,2.768,2.844,2.921,396
5,useless,-3.114,-2.658,-2.201,297
5,skeptical,2.3,2.557,2.813,466
