word,count,percentile
the,543242,100
left,2106,99
variety,755,98
bending,418,97
kitty,261,96
grew,180,95
peice,132,94
measures,101,93
elderly,78,92
lotus,62,91
flawed,50,90
hound,42,89
shoved,35,88
bleached,30,87
bulgaria,26,86
artisanal,23,85
spear,20,84
cali,17,83
towers,15,82
cellphone,14,81
gr8,12,80
hoo,11,79
coffe,10,78
faves,9,77
intellectual,8,76
tine,8,75
agreeable,7,74
dibujo,6,73
baldur,6,72
levers,6,71
tupperware,5,70
addicts,5,69
forklift,4,68
serrated,4,67
cadillac,4,66
jul,4,65
silicones,3,64
paige,3,63
hyperallergenic,3,62
maximizes,3,61
finland,3,60
freshest,3,59
crazies,2,57
joystick,2,57
surveys,2,56
sheila,2,55
camas,2,54
comienza,2,53
mst3k,2,52
upholstered,2,51
